millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
380454, 1184497962, "2007/7/15 11:12:42",  84,  -149,  910,  25,  -15,  26,  -14,  -1,  -40
380654, 1184497963, "2007/7/15 11:12:43",  200,  64,  884,  36,  13,  43,  -18,  -5,  -36
380854, 1184497963, "2007/7/15 11:12:43",  82,  250,  975,  21,  5,  58,  -22,  -6,  -35
381054, 1184497963, "2007/7/15 11:12:43",  72,  384,  975,  3,  30,  58,  -25,  -6,  -34
381254, 1184497963, "2007/7/15 11:12:43",  -76,  278,  892,  -24,  10,  53,  -26,  0,  -33
381454, 1184497963, "2007/7/15 11:12:43",  -131,  131,  982,  -25,  21,  28,  -27,  6,  -37
381654, 1184497964, "2007/7/15 11:12:44",  -248,  -98,  1134,  -25,  -3,  13,  -27,  12,  -39
381854, 1184497964, "2007/7/15 11:12:44",  -89,  -130,  1074,  -8,  -10,  9,  -28,  15,  -38
382054, 1184497964, "2007/7/15 11:12:44",  23,  -34,  901,  6,  -18,  12,  -29,  15,  -36
382254, 1184497964, "2007/7/15 11:12:44",  111,  2,  933,  13,  -3,  23,  -29,  14,  -35
382454, 1184497964, "2007/7/15 11:12:44",  94,  26,  1008,  14,  -3,  40,  -31,  17,  -36
382654, 1184497965, "2007/7/15 11:12:45",  67,  101,  998,  11,  15,  47,  -32,  19,  -34
382854, 1184497965, "2007/7/15 11:12:45",  -33,  166,  951,  9,  10,  49,  -29,  23,  -35
383054, 1184497965, "2007/7/15 11:12:45",  -25,  136,  933,  -2,  4,  43,  -29,  25,  -36
383254, 1184497965, "2007/7/15 11:12:45",  -116,  123,  966,  -8,  10,  29,  -25,  29,  -38
383454, 1184497965, "2007/7/15 11:12:45",  -18,  10,  982,  -10,  -5,  24,  -26,  33,  -36
383654, 1184497966, "2007/7/15 11:12:46",  -50,  -60,  968,  -2,  9,  25,  -24,  35,  -37
383854, 1184497966, "2007/7/15 11:12:46",  19,  -95,  943,  8,  -11,  31,  -23,  38,  -37
384054, 1184497966, "2007/7/15 11:12:46",  -11,  30,  993,  15,  6,  31,  -22,  35,  -39
384254, 1184497966, "2007/7/15 11:12:46",  31,  178,  1067,  8,  -6,  35,  -19,  38,  -39
384454, 1184497966, "2007/7/15 11:12:46",  31,  258,  1047,  -8,  7,  32,  -16,  38,  -38
384654, 1184497967, "2007/7/15 11:12:47",  7,  150,  980,  -18,  11,  32,  -15,  41,  -40
384854, 1184497967, "2007/7/15 11:12:47",  -41,  -5,  1011,  -20,  9,  31,  -11,  46,  -38
385054, 1184497967, "2007/7/15 11:12:47",  -153,  -81,  1063,  -10,  4,  25,  -6,  48,  -36
385254, 1184497967, "2007/7/15 11:12:47",  -149,  -106,  1021,  8,  -14,  18,  -6,  47,  -36
385454, 1184497967, "2007/7/15 11:12:47",  -97,  19,  953,  9,  -14,  11,  -6,  45,  -36
385654, 1184497968, "2007/7/15 11:12:48",  73,  123,  1024,  15,  -20,  10,  -8,  45,  -39
385854, 1184497968, "2007/7/15 11:12:48",  191,  164,  1065,  -5,  6,  26,  -7,  45,  -37
386054, 1184497968, "2007/7/15 11:12:48",  226,  32,  933,  -1,  24,  54,  -2,  45,  -38
386254, 1184497968, "2007/7/15 11:12:48",  1,  -21,  822,  4,  33,  72,  6,  42,  -37
386454, 1184497968, "2007/7/15 11:12:48",  -111,  16,  958,  12,  10,  65,  11,  39,  -39
386654, 1184497969, "2007/7/15 11:12:49",  -260,  307,  1081,  10,  14,  33,  16,  32,  -39
386854, 1184497969, "2007/7/15 11:12:49",  -157,  199,  984,  -7,  -36,  1,  14,  32,  -40
387054, 1184497969, "2007/7/15 11:12:49",  -8,  136,  846,  -25,  0,  -20,  11,  33,  -39
387254, 1184497969, "2007/7/15 11:12:49",  23,  108,  942,  -22,  -45,  -5,  10,  37,  -40
387454, 1184497969, "2007/7/15 11:12:49",  186,  -135,  1067,  -9,  10,  4,  5,  42,  -38
387654, 1184497970, "2007/7/15 11:12:50",  49,  -94,  1019,  -11,  -3,  24,  10,  42,  -39
387854, 1184497970, "2007/7/15 11:12:50",  96,  -177,  823,  29,  14,  31,  10,  40,  -39
388054, 1184497970, "2007/7/15 11:12:50",  -94,  40,  916,  9,  15,  35,  13,  33,  -40
388254, 1184497970, "2007/7/15 11:12:50",  25,  165,  1160,  37,  -2,  28,  14,  28,  -40
388454, 1184497970, "2007/7/15 11:12:50",  -73,  297,  1180,  -8,  10,  17,  16,  24,  -39
388654, 1184497971, "2007/7/15 11:12:51",  27,  269,  888,  -24,  -3,  11,  16,  24,  -39
388854, 1184497971, "2007/7/15 11:12:51",  -86,  -46,  762,  -16,  4,  -2,  16,  27,  -37
389054, 1184497971, "2007/7/15 11:12:51",  -105,  -98,  1059,  -30,  -11,  -4,  16,  30,  -38
389254, 1184497971, "2007/7/15 11:12:51",  -40,  -226,  1218,  31,  -8,  -6,  14,  32,  -39
389454, 1184497971, "2007/7/15 11:12:51",  79,  -138,  1076,  20,  -6,  5,  14,  29,  -40
389654, 1184497972, "2007/7/15 11:12:52",  100,  170,  871,  32,  6,  17,  12,  22,  -41
389854, 1184497972, "2007/7/15 11:12:52",  82,  207,  956,  15,  4,  26,  13,  18,  -40
390054, 1184497972, "2007/7/15 11:12:52",  82,  388,  1046,  -15,  31,  25,  13,  15,  -40
390254, 1184497972, "2007/7/15 11:12:52",  -39,  170,  999,  -16,  12,  25,  16,  17,  -38
390454, 1184497972, "2007/7/15 11:12:52",  -109,  10,  945,  -39,  28,  11,  19,  18,  -36
390654, 1184497973, "2007/7/15 11:12:53",  -245,  -66,  966,  -11,  -3,  2,  20,  19,  -36
390854, 1184497973, "2007/7/15 11:12:53",  -147,  -176,  993,  -6,  -17,  -8,  19,  22,  -37
391054, 1184497973, "2007/7/15 11:12:53",  -130,  -57,  943,  21,  -16,  -14,  17,  20,  -37
391254, 1184497973, "2007/7/15 11:12:53",  48,  11,  958,  25,  -33,  -10,  13,  20,  -41
391454, 1184497973, "2007/7/15 11:12:53",  23,  143,  1007,  23,  -11,  -7,  10,  15,  -40
391654, 1184497974, "2007/7/15 11:12:54",  128,  233,  1028,  6,  -4,  -1,  10,  14,  -41
391854, 1184497974, "2007/7/15 11:12:54",  99,  240,  1017,  -9,  15,  12,  10,  13,  -42
392054, 1184497974, "2007/7/15 11:12:54",  99,  121,  965,  -22,  18,  28,  14,  15,  -41
392254, 1184497974, "2007/7/15 11:12:54",  -60,  31,  951,  -21,  25,  31,  14,  15,  -40
392454, 1184497974, "2007/7/15 11:12:54",  -124,  -42,  975,  -11,  16,  25,  17,  15,  -38
392654, 1184497975, "2007/7/15 11:12:55",  -250,  -74,  964,  4,  -7,  16,  19,  13,  -39
392854, 1184497975, "2007/7/15 11:12:55",  -142,  -45,  907,  6,  -17,  6,  14,  12,  -38
393054, 1184497975, "2007/7/15 11:12:55",  -42,  83,  948,  11,  -14,  0,  13,  10,  -37
393254, 1184497975, "2007/7/15 11:12:55",  182,  137,  1064,  4,  -17,  14,  10,  8,  -39
